scenario,noise_sigma,time_s,baseline_tx_total,baseline_tx_per_node_per_min,baseline_rmse_aligned_m,baseline_mae_aligned_m,icum_tx_total,icum_tx_per_node_per_min,icum_rmse_aligned_m,icum_mae_aligned_m
none_moving,0,0,0,,18.187917130173428,17.241615522676813,0,,18.187917130173428,17.241615522676813
none_moving,0,1,40,240,8.732732372315386,7.427804860803237,40,240,8.732732372315386,7.427804860803237
none_moving,0,2,100,300,5.726723138072793,4.812547840903697,100,300,5.726723138072793,4.812547840903697
none_moving,0,3,161,322,3.0648841827969058,2.63075579720807,161,322,3.0648841827969058,2.63075579720807
none_moving,0,4,222,333,1.9018216384055475,1.4001777131128779,222,333,1.9018216384055475,1.4001777131128779
none_moving,0,5,283,339.6,1.3194923817273232,0.8804961099354985,283,339.6,1.3194923817273232,0.8804961099354985
none_moving,0,6,344,343.99999999999994,0.830375259062732,0.5754025316081653,344,343.99999999999994,0.830375259062732,0.5754025316081653
none_moving,0,7,405,347.1428571428571,0.5805761354409638,0.3728209052866186,396,339.42857142857144,0.5805761354409638,0.3728209052866186
none_moving,0,8,466,349.5,0.43504778830390345,0.2562192236750025,402,301.5,0.5053512786557446,0.29303523441624957
none_moving,0,9,527,351.33333333333337,0.26335079587026733,0.1698085336621727,402,268.00000000000006,0.49510907500223333,0.28406845185317875
none_moving,0,10,588,352.8,0.17974589659299417,0.11608873936488733,402,241.20000000000002,0.4932821203887342,0.2825163652881977
none_moving,0,11,649,354.00000000000006,0.15079835640791348,0.08285185659580349,402,219.2727272727273,0.49292580240572564,0.28221657374835996
none_moving,0,12,710,355,0.08500816943963498,0.05374137307892124,402,201,0.4928549033703263,0.2821570533526064
none_moving,0,13,771,355.8461538461538,0.056770311134246874,0.037038936015916145,402,185.53846153846155,0.4928407381587309,0.2821451669015596
none_moving,0,14,832,356.57142857142856,0.05334115286203166,0.02896725308259116,402,172.2857142857143,0.4928379057003348,0.28214279031738015
none_moving,0,15,893,357.2,0.028571152550873405,0.017221063716646504,402,160.8,0.49283733923201356,0.2821423150287936
none_moving,0,16,954,357.75,0.020746965021316028,0.012086430712806493,402,150.75,0.49283722593928336,0.2821422199722056
none_moving,0,17,1015,358.2352941176471,0.018252923470842595,0.010239992211331499,402,141.8823529411765,0.4928372032807756,0.28214220096093384
none_moving,0,18,1076,358.6666666666667,0.011299684986551749,0.005495762061074715,402,134.00000000000003,0.49283719874907544,0.28214219715868155
