time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
0,10.109801844711491,10.109801844711491,10.109801844711491,25,1,100,0.01,10,5
1,10.109801844711491,14.167694879719418,12.158849834856081,25,1,100,0.01,10,5
2,10.109801844711491,9.22295983814084,9.564012669048871,25,1,100,0.01,10,5
3,10.109801844711491,7.8667183583008295,7.6629784603150295,25,1,100,0.01,10,5
4,10.109801844711491,8.419236023619218,8.006802644774414,25,1,100,0.01,10,5
5,10.109801844711491,8.764337715607299,8.26077621190392,25,1,100,0.01,10,5
6,10.109801844711491,9.203633050541061,8.722346569259216,25,1,100,0.01,10,5
7,10.109801844711491,9.837831354144843,9.327244974339166,25,1,100,0.01,10,5
8,10.109801844711491,9.433195847715456,9.206609011883378,25,1,100,0.01,10,5
9,10.109801844711491,9.739570974152898,9.536897547046868,25,1,100,0.01,10,5
10,10.109801844711491,10.040242212422088,9.827578848183476,25,1,100,0.01,10,5
11,10.109801844711491,10.874267382368798,10.449189824114072,25,1,100,0.01,10,5
12,10.109801844711491,10.377948681891699,10.329031011669102,25,1,100,0.01,10,5
13,10.109801844711491,9.272183585220882,9.80407195310159,25,1,100,0.01,10,5
14,10.109801844711491,9.516845296189425,9.900815013574476,25,1,100,0.01,10,5
15,10.109801844711491,9.593281139182858,9.968600667077448,25,1,100,0.01,10,5
16,10.109801844711491,9.709688356676674,10.009411834941561,25,1,100,0.01,10,5
17,10.109801844711491,9.921880421167156,10.031174941187562,25,1,100,0.01,10,5
18,10.109801844711491,10.08511765878546,10.145145915466982,25,1,100,0.01,10,5
19,10.109801844711491,9.945368218241814,10.127570982667956,25,1,100,0.01,10,5
20,10.109801844711491,9.453703820449793,9.98000092723312,25,1,100,0.01,10,5
21,10.109801844711491,10.116393023121198,10.209093252313915,25,1,100,0.01,10,5
22,10.109801844711491,8.81524422670191,9.775946112444597,25,1,100,0.01,10,5
