time_s,rmse_gps_m,rmse_ekf_m,rmse_ekf_tuned_m,r_untuned,q_untuned,r_tuned,q_tuned,std,n
0,22.263598619627594,22.263598619627594,22.263598619627594,100,1,400,0.01,20,5
1,22.263598619627594,21.739599158028977,21.739599158028977,100,1,400,0.01,20,5
2,22.263598619627594,21.519868949104573,21.519421260534454,100,1,400,0.01,20,5
3,22.263598619627594,21.66321497113372,21.663064345533765,100,1,400,0.01,20,5
4,22.263598619627594,21.922286016621797,21.9214399245968,100,1,400,0.01,20,5
5,22.263598619627594,22.05751508180858,22.055403930652208,100,1,400,0.01,20,5
6,22.263598619627594,22.04311533259577,22.04155277115855,100,1,400,0.01,20,5
7,22.263598619627594,21.86669142575556,21.871665610679166,100,1,400,0.01,20,5
8,22.263598619627594,21.861566568017167,21.866107007473342,100,1,400,0.01,20,5
9,22.263598619627594,21.70172130622315,21.71735785940494,100,1,400,0.01,20,5
10,22.263598619627594,21.76505438156882,21.77303344227268,100,1,400,0.01,20,5
11,22.263598619627594,21.672657768164246,21.69059191403089,100,1,400,0.01,20,5
12,22.263598619627594,21.67451702705003,21.69021322512285,100,1,400,0.01,20,5
13,22.263598619627594,21.68115108804416,21.694236713224836,100,1,400,0.01,20,5
14,22.263598619627594,21.655175969878105,21.672147546494514,100,1,400,0.01,20,5
15,22.263598619627594,21.79300729060182,21.77857176485514,100,1,400,0.01,20,5
16,22.263598619627594,22.021165887453986,21.95288743372038,100,1,400,0.01,20,5
17,22.263598619627594,22.178328800395047,22.073291577408003,100,1,400,0.01,20,5
18,22.263598619627594,22.132445011397387,22.048032041632467,100,1,400,0.01,20,5
19,22.263598619627594,22.293849827214945,22.16478772688459,100,1,400,0.01,20,5
20,22.263598619627594,22.331767903483353,22.198336281032493,100,1,400,0.01,20,5
21,22.263598619627594,22.355468890448645,22.22204614435762,100,1,400,0.01,20,5
22,22.263598619627594,22.42304808706206,22.272062000829735,100,1,400,0.01,20,5
23,22.263598619627594,22.384488529002585,22.2573010251528,100,1,400,0.01,20,5
24,22.263598619627594,22.589952098870828,22.38484451826328,100,1,400,0.01,20,5
25,22.263598619627594,22.606259650020437,22.405215524838653,100,1,400,0.01,20,5
26,22.263598619627594,22.62374811566444,22.425454698975322,100,1,400,0.01,20,5
27,22.263598619627594,22.534562969925393,22.387899349566347,100,1,400,0.01,20,5
28,22.263598619627594,22.523110938618334,22.389022012673816,100,1,400,0.01,20,5
29,22.263598619627594,22.522824120813567,22.395265188100165,100,1,400,0.01,20,5
30,22.263598619627594,22.48692101999122,22.383460060612308,100,1,400,0.01,20,5
31,22.263598619627594,22.5755457729254,22.429580610115757,100,1,400,0.01,20,5
32,22.263598619627594,22.63392868253763,22.462883812680317,100,1,400,0.01,20,5
33,22.263598619627594,22.610984212665475,22.45905896450981,100,1,400,0.01,20,5
34,22.263598619627594,22.68594263023127,22.49848847646414,100,1,400,0.01,20,5
35,22.263598619627594,22.69408867398413,22.509461591073062,100,1,400,0.01,20,5
36,22.263598619627594,22.749447099716885,22.539892686503165,100,1,400,0.01,20,5
37,22.263598619627594,22.642509627738868,22.505005531680627,100,1,400,0.01,20,5
38,22.263598619627594,22.492154723452675,22.451257671077464,100,1,400,0.01,20,5
39,22.263598619627594,22.401387528284616,22.418165776491556,100,1,400,0.01,20,5
40,22.263598619627594,22.485305434135913,22.448797459306384,100,1,400,0.01,20,5
41,22.263598619627594,22.652913187969464,22.51061263545663,100,1,400,0.01,20,5
42,22.263598619627594,22.631010253443595,22.507873498916535,100,1,400,0.01,20,5
43,22.263598619627594,22.70276907994717,22.53675905656323,100,1,400,0.01,20,5
44,22.263598619627594,22.81567149533371,22.580293075856957,100,1,400,0.01,20,5
45,22.263598619627594,22.770323947832583,22.572487042261542,100,1,400,0.01,20,5
46,22.263598619627594,22.590890261331147,22.520752531387085,100,1,400,0.01,20,5
47,22.263598619627594,22.814249815964654,22.593456451261382,100,1,400,0.01,20,5
48,22.263598619627594,22.810076042116837,22.59847077320684,100,1,400,0.01,20,5
49,22.263598619627594,22.7578379955871,22.588794987654165,100,1,400,0.01,20,5
50,22.263598619627594,22.76208790644577,22.594802865906427,100,1,400,0.01,20,5
51,22.263598619627594,22.723730614349574,22.58836279714464,100,1,400,0.01,20,5
52,22.263598619627594,22.646699931478746,22.570106022423033,100,1,400,0.01,20,5
53,22.263598619627594,22.745635262610627,22.59980480729645,100,1,400,0.01,20,5
54,22.263598619627594,22.79371448870876,22.616764984219785,100,1,400,0.01,20,5
55,22.263598619627594,22.870565986833395,22.641919296683877,100,1,400,0.01,20,5
56,22.263598619627594,22.73695733835504,22.612202952931877,100,1,400,0.01,20,5
57,22.263598619627594,22.579023846275522,22.574296034152994,100,1,400,0.01,20,5
58,22.263598619627594,22.455019761632872,22.54302718009435,100,1,400,0.01,20,5
59,22.263598619627594,22.239345110742047,22.48695109525336,100,1,400,0.01,20,5
60,22.263598619627594,22.420990861134854,22.525831003074252,100,1,400,0.01,20,5
61,22.263598619627594,22.577203838766106,22.561044663618738,100,1,400,0.01,20,5
62,22.263598619627594,22.631778678468507,22.574402140782347,100,1,400,0.01,20,5
63,22.263598619627594,22.667982196876185,22.584237608889843,100,1,400,0.01,20,5
64,22.263598619627594,22.50165264992856,22.54777842796213,100,1,400,0.01,20,5
65,22.263598619627594,22.54733644069632,22.557026313036356,100,1,400,0.01,20,5
66,22.263598619627594,22.50351245315935,22.54714723308322,100,1,400,0.01,20,5
67,22.263598619627594,22.56892286520175,22.560607886382193,100,1,400,0.01,20,5
68,22.263598619627594,22.481067710816234,22.54167260193311,100,1,400,0.01,20,5
69,22.263598619627594,22.27415896252834,22.496442536379295,100,1,400,0.01,20,5
70,22.263598619627594,22.281716090901007,22.493566410697735,100,1,400,0.01,20,5
71,22.263598619627594,22.224045282793426,22.47744176803729,100,1,400,0.01,20,5
72,22.263598619627594,22.40555788774203,22.50959883066468,100,1,400,0.01,20,5
73,22.263598619627594,22.323292477226275,22.491052076036144,100,1,400,0.01,20,5
74,22.263598619627594,22.38500751209039,22.500123917570228,100,1,400,0.01,20,5
75,22.263598619627594,22.339645217244527,22.489105597080513,100,1,400,0.01,20,5
76,22.263598619627594,22.237653960645115,22.46659197459165,100,1,400,0.01,20,5
77,22.263598619627594,22.460179898296722,22.50490862893436,100,1,400,0.01,20,5
78,22.263598619627594,22.34349419359911,22.48209222832489,100,1,400,0.01,20,5
79,22.263598619627594,22.428080374869047,22.495418780222245,100,1,400,0.01,20,5
80,22.263598619627594,22.324783851754322,22.475203834544114,100,1,400,0.01,20,5
81,22.263598619627594,22.297966457026014,22.467638177927032,100,1,400,0.01,20,5
82,22.263598619627594,22.417166285450858,22.485956547118743,100,1,400,0.01,20,5
83,22.263598619627594,22.358276469205844,22.47396295350286,100,1,400,0.01,20,5
84,22.263598619627594,22.3345868360139,22.46746626029025,100,1,400,0.01,20,5
85,22.263598619627594,22.473314208921185,22.488939997559708,100,1,400,0.01,20,5
86,22.263598619627594,22.613917498322056,22.51244142270802,100,1,400,0.01,20,5
87,22.263598619627594,22.65243460155992,22.52112836463225,100,1,400,0.01,20,5
88,22.263598619627594,22.533625567963682,22.503595208208353,100,1,400,0.01,20,5
89,22.263598619627594,22.335206945182613,22.471338252465053,100,1,400,0.01,20,5
90,22.263598619627594,22.161989741789622,22.44092309332108,100,1,400,0.01,20,5
91,22.263598619627594,22.248726721503186,22.450583978407742,100,1,400,0.01,20,5
92,22.263598619627594,22.144656720056478,22.430867129968902,100,1,400,0.01,20,5
93,22.263598619627594,22.253665967433253,22.443854102269157,100,1,400,0.01,20,5
94,22.263598619627594,22.1872743449047,22.430515173085386,100,1,400,0.01,20,5
95,22.263598619627594,22.067164513646823,22.408264466750026,100,1,400,0.01,20,5
96,22.263598619627594,22.22426493231407,22.427523957645455,100,1,400,0.01,20,5
97,22.263598619627594,22.112211366609035,22.40742057469943,100,1,400,0.01,20,5
98,22.263598619627594,22.180018176355667,22.413385826773293,100,1,400,0.01,20,5
99,22.263598619627594,22.177619139153975,22.40944252973248,100,1,400,0.01,20,5
100,22.263598619627594,22.224417344395018,22.41299530722266,100,1,400,0.01,20,5
101,22.263598619627594,22.419673325336998,22.439082776289393,100,1,400,0.01,20,5
102,22.263598619627594,22.537524559379044,22.455859671260203,100,1,400,0.01,20,5
103,22.263598619627594,22.583909345192342,22.464018072973726,100,1,400,0.01,20,5
104,22.263598619627594,22.34802107374262,22.431876279005827,100,1,400,0.01,20,5
105,22.263598619627594,22.434061862422762,22.443000174799028,100,1,400,0.01,20,5
106,22.263598619627594,22.496178731873016,22.451290614382568,100,1,400,0.01,20,5
107,22.263598619627594,22.463867305768844,22.447184204760866,100,1,400,0.01,20,5
108,22.263598619627594,22.386109305266118,22.436968217731106,100,1,400,0.01,20,5
109,22.263598619627594,22.392029257350398,22.437198698183035,100,1,400,0.01,20,5
110,22.263598619627594,22.525930726335762,22.454817676025307,100,1,400,0.01,20,5
111,22.263598619627594,22.771352499350684,22.48884199702949,100,1,400,0.01,20,5
112,22.263598619627594,22.8394530926563,22.50161300029248,100,1,400,0.01,20,5
113,22.263598619627594,22.846548807401945,22.506713433993596,100,1,400,0.01,20,5
114,22.263598619627594,22.76496820311154,22.500294354225645,100,1,400,0.01,20,5
115,22.263598619627594,22.763202171800366,22.503174621781923,100,1,400,0.01,20,5
116,22.263598619627594,22.542156573750077,22.477682287806832,100,1,400,0.01,20,5
117,22.263598619627594,22.554034609222285,22.479832939431894,100,1,400,0.01,20,5
118,22.263598619627594,22.542889704438643,22.479422172163346,100,1,400,0.01,20,5
119,22.263598619627594,22.5695927150926,22.483559598909558,100,1,400,0.01,20,5
120,22.263598619627594,22.541408297471136,22.480882191891094,100,1,400,0.01,20,5
121,22.263598619627594,22.69679592548766,22.501025239819032,100,1,400,0.01,20,5
122,22.263598619627594,22.83757702199087,22.52092600980708,100,1,400,0.01,20,5
123,22.263598619627594,22.64657712659911,22.501047450248624,100,1,400,0.01,20,5
124,22.263598619627594,22.644487471796143,22.502489453246522,100,1,400,0.01,20,5
125,22.263598619627594,22.744769768781836,22.516438761000032,100,1,400,0.01,20,5
126,22.263598619627594,22.699256314117868,22.513600547818008,100,1,400,0.01,20,5
127,22.263598619627594,22.64911419885719,22.509717918663746,100,1,400,0.01,20,5
128,22.263598619627594,22.56475446457194,22.501219188290012,100,1,400,0.01,20,5
129,22.263598619627594,22.404624805725017,22.482864859303437,100,1,400,0.01,20,5
130,22.263598619627594,22.523020266228254,22.49591422132124,100,1,400,0.01,20,5
131,22.263598619627594,22.62528147997735,22.508168393371356,100,1,400,0.01,20,5
132,22.263598619627594,22.58401099865501,22.50473853604626,100,1,400,0.01,20,5
133,22.263598619627594,22.46592955728879,22.49183127529359,100,1,400,0.01,20,5
134,22.263598619627594,22.496905263281157,22.495183797458292,100,1,400,0.01,20,5
135,22.263598619627594,22.583176494066553,22.505117140836575,100,1,400,0.01,20,5
136,22.263598619627594,22.460708203021778,22.491990503576346,100,1,400,0.01,20,5
137,22.263598619627594,22.473721599583747,22.493141302494735,100,1,400,0.01,20,5
138,22.263598619627594,22.461871686573662,22.49161617156714,100,1,400,0.01,20,5
139,22.263598619627594,22.508808793686825,22.496529572417437,100,1,400,0.01,20,5
140,22.263598619627594,22.367778252137843,22.48099143902015,100,1,400,0.01,20,5
141,22.263598619627594,22.422789114117748,22.485754008344767,100,1,400,0.01,20,5
142,22.263598619627594,22.528823545744547,22.496806110733917,100,1,400,0.01,20,5
143,22.263598619627594,22.746262721965213,22.520866049137865,100,1,400,0.01,20,5
144,22.263598619627594,22.851192789849282,22.53462717050405,100,1,400,0.01,20,5
145,22.263598619627594,22.78538815645822,22.530813576888175,100,1,400,0.01,20,5
146,22.263598619627594,22.749466918727144,22.52956653398294,100,1,400,0.01,20,5
147,22.263598619627594,22.744295380424855,22.53125066364182,100,1,400,0.01,20,5
148,22.263598619627594,22.814774628998546,22.540831203142343,100,1,400,0.01,20,5
149,22.263598619627594,22.692791070360716,22.53060394547374,100,1,400,0.01,20,5
150,22.263598619627594,22.794697251299482,22.543004818435897,100,1,400,0.01,20,5
151,22.263598619627594,22.963838579579374,22.563241790102182,100,1,400,0.01,20,5
152,22.263598619627594,23.00980008627468,22.57193973216484,100,1,400,0.01,20,5
153,22.263598619627594,23.108768731157966,22.58645256438665,100,1,400,0.01,20,5
154,22.263598619627594,23.158933424003358,22.59661468133395,100,1,400,0.01,20,5
155,22.263598619627594,23.205652603985936,22.60702070204906,100,1,400,0.01,20,5
156,22.263598619627594,23.15940310047282,22.608055400224007,100,1,400,0.01,20,5
157,22.263598619627594,22.90389827826066,22.587243066534857,100,1,400,0.01,20,5
158,22.263598619627594,22.7827339458381,22.57806450164398,100,1,400,0.01,20,5
159,22.263598619627594,22.7297887261743,22.574504772034732,100,1,400,0.01,20,5
160,22.263598619627594,22.772335327804694,22.580423110678645,100,1,400,0.01,20,5
161,22.263598619627594,22.7197138985327,22.576919127768363,100,1,400,0.01,20,5
162,22.263598619627594,22.691370643574583,22.575633839791948,100,1,400,0.01,20,5
163,22.263598619627594,22.82874228968592,22.59027993492422,100,1,400,0.01,20,5
164,22.263598619627594,22.91553169569369,22.60112232894805,100,1,400,0.01,20,5
165,22.263598619627594,22.87421166095079,22.599940204347053,100,1,400,0.01,20,5
166,22.263598619627594,22.53579649732662,22.569244537009855,100,1,400,0.01,20,5
167,22.263598619627594,22.442126879073555,22.559788991715887,100,1,400,0.01,20,5
168,22.263598619627594,22.38155794237739,22.552715489079453,100,1,400,0.01,20,5
169,22.263598619627594,22.305885800553515,22.544030394672962,100,1,400,0.01,20,5
170,22.263598619627594,22.26833541824416,22.538257162867353,100,1,400,0.01,20,5
171,22.263598619627594,22.55733788880531,22.563517612780508,100,1,400,0.01,20,5
172,22.263598619627594,22.61503898273752,22.568956801521264,100,1,400,0.01,20,5
173,22.263598619627594,22.478914380323687,22.556433244594757,100,1,400,0.01,20,5
174,22.263598619627594,22.5004931916261,22.557812619591232,100,1,400,0.01,20,5
175,22.263598619627594,22.58798429886939,22.565492716198406,100,1,400,0.01,20,5
176,22.263598619627594,22.862434502291205,22.591375088457767,100,1,400,0.01,20,5
177,22.263598619627594,22.831472600770983,22.59078352379936,100,1,400,0.01,20,5
178,22.263598619627594,23.02348061171333,22.61041990920726,100,1,400,0.01,20,5
179,22.263598619627594,23.003612222175267,22.612307513998,100,1,400,0.01,20,5
180,22.263598619627594,22.998888598529813,22.615416879878005,100,1,400,0.01,20,5
181,22.263598619627594,22.97417937664937,22.616454506876686,100,1,400,0.01,20,5
182,22.263598619627594,22.96071970705138,22.618331344338056,100,1,400,0.01,20,5
183,22.263598619627594,22.97483182047699,22.62255319954866,100,1,400,0.01,20,5
184,22.263598619627594,22.97037471803285,22.625289734485403,100,1,400,0.01,20,5
185,22.263598619627594,22.89717197023459,22.62158595692704,100,1,400,0.01,20,5
186,22.263598619627594,23.088628421772253,22.641188940212775,100,1,400,0.01,20,5
187,22.263598619627594,22.844689748800924,22.623124383311257,100,1,400,0.01,20,5
188,22.263598619627594,22.929470390034332,22.632488707360885,100,1,400,0.01,20,5
189,22.263598619627594,22.740467094068798,22.61823334592115,100,1,400,0.01,20,5
190,22.263598619627594,22.926465245849094,22.635715567045697,100,1,400,0.01,20,5
191,22.263598619627594,22.902607243790793,22.636132785832107,100,1,400,0.01,20,5
192,22.263598619627594,22.77942803119474,22.627540894764582,100,1,400,0.01,20,5
193,22.263598619627594,22.664599107888158,22.618717982678124,100,1,400,0.01,20,5
194,22.263598619627594,22.798526174800937,22.63081069638846,100,1,400,0.01,20,5
