time_s,rmse_gps_m,rmse_kalman_m,rmse_adaptive_m,r_fixed,q_fixed,r_adaptive_init,q_adaptive_init,std,n
0,9.225765915280334,9.225765915280334,9.225765915280334,100,0.01,10,0.01,10,5
1,9.225765915280334,6.567887841834844,9.652973414715857,100,0.01,10,0.01,10,5
2,9.225765915280334,3.2806232242852937,5.246606989361865,100,0.01,10,0.01,10,5
3,9.225765915280334,4.018758004609588,6.069403460900506,100,0.01,10,0.01,10,5
4,9.225765915280334,20.449224036223157,23.89949288320957,100,0.01,10,0.01,10,5
5,9.225765915280334,16.79330848565034,17.171632144859853,100,0.01,10,0.01,10,5
6,9.225765915280334,11.774322998617029,11.022182245701538,100,0.01,10,0.01,10,5
7,9.225765915280334,14.879677365590057,14.050872929775343,100,0.01,10,0.01,10,5
8,9.225765915280334,11.702622346240778,10.849931776683484,100,0.01,10,0.01,10,5
9,9.225765915280334,5.572245905058424,5.029310849659749,100,0.01,10,0.01,10,5
10,9.225765915280334,10.674151583333032,9.5920187699789,100,0.01,10,0.01,10,5
11,9.225765915280334,8.645619527523921,7.542088503429294,100,0.01,10,0.01,10,5
12,9.225765915280334,10.612868582152835,9.27641169883537,100,0.01,10,0.01,10,5
13,9.225765915280334,13.078094965051381,11.681603152094993,100,0.01,10,0.01,10,5
14,9.225765915280334,15.044314288833586,13.511828359377832,100,0.01,10,0.01,10,5
15,9.225765915280334,14.045080071853526,12.908173278981522,100,0.01,10,0.01,10,5
16,9.225765915280334,12.33900878704594,11.547460223694722,100,0.01,10,0.01,10,5
17,9.225765915280334,10.307993407137214,9.790095920976155,100,0.01,10,0.01,10,5
18,9.225765915280334,9.128990446980442,8.641851438094337,100,0.01,10,0.01,10,5
19,9.225765915280334,7.174479865337169,6.649441247585467,100,0.01,10,0.01,10,5
20,9.225765915280334,8.214288581641803,7.517054074983898,100,0.01,10,0.01,10,5
21,9.225765915280334,8.402540626664397,7.655003763025314,100,0.01,10,0.01,10,5
22,9.225765915280334,10.144341327159006,9.295490922804005,100,0.01,10,0.01,10,5
23,9.225765915280334,10.912564269531789,10.075450569164742,100,0.01,10,0.01,10,5
24,9.225765915280334,7.471286864037312,6.6661485413116655,100,0.01,10,0.01,10,5
25,9.225765915280334,8.21478546704654,7.41046014122609,100,0.01,10,0.01,10,5
26,9.225765915280334,8.876621584687683,8.163976340122895,100,0.01,10,0.01,10,5
27,9.225765915280334,8.436235781408435,7.7161899106792635,100,0.01,10,0.01,10,5
28,9.225765915280334,7.949881334827806,7.212135897520662,100,0.01,10,0.01,10,5
29,9.225765915280334,6.312295716763849,5.324376460003497,100,0.01,10,0.01,10,5
30,9.225765915280334,6.450348904111345,5.4853144263650275,100,0.01,10,0.01,10,5
31,9.225765915280334,4.90969473613749,3.781738006616495,100,0.01,10,0.01,10,5
32,9.225765915280334,5.484707268360076,4.494889861820463,100,0.01,10,0.01,10,5
33,9.225765915280334,4.154802365715244,3.2106646574849136,100,0.01,10,0.01,10,5
34,9.225765915280334,2.7353490627526984,1.5740125648445087,100,0.01,10,0.01,10,5
35,9.225765915280334,3.310241625346936,2.159750211491581,100,0.01,10,0.01,10,5
36,9.225765915280334,2.33862489666897,1.1194785206469384,100,0.01,10,0.01,10,5
37,9.225765915280334,1.9210396321036476,0.8440519967227451,100,0.01,10,0.01,10,5
38,9.225765915280334,0.6790696981864499,0.9679417374204071,100,0.01,10,0.01,10,5
39,9.225765915280334,0.6030368533084955,1.845014224565062,100,0.01,10,0.01,10,5
40,9.225765915280334,0.7589294785182995,1.9053813779221571,100,0.01,10,0.01,10,5
41,9.225765915280334,1.4051558301306895,2.200717168758143,100,0.01,10,0.01,10,5
42,9.225765915280334,2.5545047201029893,3.324103698611868,100,0.01,10,0.01,10,5
43,9.225765915280334,2.002604858827263,2.7968047539792154,100,0.01,10,0.01,10,5
44,9.225765915280334,3.279037042393875,4.452959162922124,100,0.01,10,0.01,10,5
